"filename", "language", "PHP", "SCSS", "JavaScript", "XML", "CSS", "SQL", "Markdown", "HTML", "JSON", "Less", "TypeScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_layouts\home.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_layouts\page.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\_layouts\post.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\adminlte.css", "CSS", 0, 0, 0, 0, 26045, 0, 0, 0, 0, 0, 0, 0, 21, 5155, 31221
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 4145, 0, 0, 0, 0, 0, 0, 0, 8, 1055, 5208
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 14774, 0, 0, 0, 0, 0, 0, 0, 14, 2526, 17314
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 875, 0, 0, 0, 0, 0, 0, 0, 8, 182, 1065
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 8, 77, 445
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 0, 5151, 0, 0, 0, 0, 0, 0, 0, 16, 1303, 6470
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\docs\assets\css\docs.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
